id	filename	md5	size	state
6fa5d8db-696a-4279-a89b-2c60310fb4b6	e6add426-17ca-4a1d-9013-b28532df9172_wxs_gdc_realn.bam	ad7a9e37884cbcb89ab7ea2e09c56cd3	15636967921	validated
8a3a80e0-2d5f-4988-ab1a-bb52badd9880	ff106e99-4fe0-4689-a28b-a83e682c8ccb_wxs_gdc_realn.bam	c2d0c0cae79657a6258c6c7c80dfff11	17013281539	validated
7b9aa156-92a3-40d8-ba47-2a1b5aa05e52	e5c9bd8d-980d-47e9-9b0f-7cafecd625e9_wxs_gdc_realn.bam	18c7a2eb3e3bd40550a4e23916fc7341	44544793922	validated
5c784cb5-9b94-4f63-87d7-59e5dea4e3fe	d81db8cb-d540-4ee9-8e9c-2ba2d1a080e5_wxs_gdc_realn.bam	71f39d3a6fa0a5b4a30cda2bd3cbf9e8	13242189052	validated
53e3326d-d3ac-45a6-abd6-09377c8b6a2c	d594d627-41ba-4f71-8838-ee617bf9e428_wxs_gdc_realn.bam	713b172d4fd845947f1f397af586e7e4	37930779120	validated
36174abf-6014-4811-8e84-da3655e690a6	acfa7e26-a9fa-43ea-9eac-bcdf23e962e8_wxs_gdc_realn.bam	c46856b5f9ef81cf495ea12dd41b77d4	21927786818	validated
8aa8c269-235c-493f-84d6-9b58cf91c306	bc2a9b3e-b713-445a-9818-e883c62093e0_wxs_gdc_realn.bam	1f053c7496202eb8999db8a660e7db91	15839273331	validated
f100402a-82d3-478b-8263-f7ac0d21a75e	f9e2e4b0-1e40-4c7f-8e3b-d0c8fbfa5861_wxs_gdc_realn.bam	c2cac7f1f17cf9568cf436a052e72700	49425287908	validated
ab7b1b9b-65a1-4be6-8eed-f5c25c0480af	74e72344-e693-4757-a05b-dadad40b1e64_wxs_gdc_realn.bam	e2c216973b2a131b5851db39a8483748	19684349227	validated
bdea163c-fa6e-4320-b6ba-21f05e07e3ee	0eed8eb4-5cc7-452a-bf14-a6064ddad3d2_wxs_gdc_realn.bam	8132ae0bc6c3915dcd52341ab33efacc	31471394438	validated
bde3a300-bca1-4862-9ffb-efc70038faff	ca11bc50-12a8-4fe5-9f3e-ad5ad237c89d_wxs_gdc_realn.bam	c90f6c8f7bc6a972106a12428802f34d	9911124166	validated
ac87c43a-06e3-4777-9b9f-28dad9bd6d91	92efbf13-cebe-4c13-9b8d-69584b543ad5_wxs_gdc_realn.bam	fb3133c498a7551ca4f9a2609ccdf9d6	34353262631	validated
ac5d070b-3fd2-4480-89d8-9aaca516789c	3a3ded86-403d-4780-b7d6-a947fcee5d40_wxs_gdc_realn.bam	da13e2523f6ab21888af45a61c2e6fb6	18124749326	validated
ac70aef5-c2b8-45d7-9583-ce2db0c084fd	49f475c3-3f95-45c6-8446-17acfc7f21c7_wxs_gdc_realn.bam	0563950272b08bc19b0f84438516b28e	23399424252	validated
ad7357a0-a57c-4262-9804-7890a8823618	5c5570c7-edb4-4050-a9fd-b707a13e25a7_wxs_gdc_realn.bam	f220a2134daaef23bddf2c78c92618f7	11462799590	validated
ad24a3ac-c215-4411-a8ba-72becffb047c	9411bdaf-e59a-4884-b424-87193e1dfe94_wxs_gdc_realn.bam	34c92c033868ed972efe6aed0768fde3	21898081532	validated
